Tools,Vulnerability name,access_control,arithmetic,denial_service,reentrancy,unchecked_low_calls,bad_randomness,front_running,time_manipulation,short_addresses,Other,Ignore
smartcheck,SOLIDITY_REDUNDANT_FALLBACK_REJECT,,,,,,,,,,,True
smartcheck,SOLIDITY_REVERT_REQUIRE,,,,,,,,,,,True
smartcheck,SOLIDITY_SAFEMATH,,,,,,,,,,,True
smartcheck,SOLIDITY_SEND,,,,,True,,,,,,
smartcheck,SOLIDITY_SHOULD_NOT_BE_PURE,,,,,,,,,,,True
smartcheck,SOLIDITY_SHOULD_NOT_BE_VIEW,,,,,,,,,,,True
smartcheck,SOLIDITY_SHOULD_RETURN_STRUCT,,,,,,,,,,,True
smartcheck,SOLIDITY_TRANSFER_IN_LOOP,,,True,,,,,,,,
smartcheck,SOLIDITY_TX_ORIGIN,True,,,,,,,,,,
smartcheck,SOLIDITY_UINT_CANT_BE_NEGATIVE,,True,,,,,,,,,
smartcheck,SOLIDITY_UNCHECKED_CALL,,,,,True,,,,,,
smartcheck,SOLIDITY_UPGRADE_TO_050,,,,,,,,,,,True
smartcheck,SOLIDITY_USING_INLINE_ASSEMBLY,,,,,,,,,,,True
smartcheck,SOLIDITY_VAR,,True,,,,,,,,,
smartcheck,SOLIDITY_VAR_IN_LOOP_FOR,,True,,,,,,,,,
smartcheck,SOLIDITY_VISIBILITY,,,,,,,,,,,True
smartcheck,SOLIDITY_WRONG_SIGNATURE,,,,,,,,,,,True
solhint,indent,,,,,,,,,,,True
solhint,max-line-length,,,,,,,,,,,True
honeybadger,hidden_state_update,,,,,,,,,,,True
honeybadger,uninitialised_struct,,,,,,,,,,True,
honeybadger,inheritance_disorder,,,,,,,,,,,True
honeybadger,straw_man_contract,,,,True,,,,,,,
honeybadger,hidden_transfer,,,,,,,,,,True,
honeybadger,balance_disorder,,,,,,,,,,,True
honeybadger,type_overflow,,True,,,,,,,,,
semgrep,use-prefix-decrement-not-postfix,,,,,,,,,,,True
semgrep,inefficient-state-variable-increment,,,,,,,,,,,True
semgrep,use-multiple-require,,,,,,,,,,True,True
semgrep,array-length-outside-loop,,,,,,,,,,True,True
semgrep,state-variable-read-in-a-loop,,,,,,,,,,True,True
semgrep,unnecessary-checked-arithmetic-in-loop,,,,,,,,,,True,True
semgrep,use-nested-if,,,,,,,,,,True,True
semgrep,use-prefix-increment-not-postfix,,,,,,,,,,True,True
semgrep,delegatecall-to-arbitrary-address,True,,,,,,,,,,
semgrep,init-variables-with-default-value,,,,,,,,,,True,True
semgrep,use-ownable2step,True,,,,,,,,,,
semgrep,use-custom-error-not-require,,,,,,,,,,True,True
semgrep,use-short-revert-string,,,,,,,,,,True,True
semgrep,incorrect-use-of-blockhash,,,,,,True,,,,,
conkas,Reentrancy,,,,True,,,,,,,
conkas,Unchecked Low Level Call,,,,,True,,,,,,
conkas,Time Manipulation,,,,,,,,True,,,
conkas,Transaction Ordering Dependence,,,,,,,True,,,,
confuzzius,Assertion Failure,,,,,,,,,,,True
confuzzius,Unhandled Exception,,,,,True,,,,,,
confuzzius,Transaction Order Dependency,,,,,,,True,,,,
confuzzius,Block Dependency,,,,,,,,True,,,
confuzzius,Leaking Ether,True,,,,,,,,,,
confuzzius,Reentrancy,,,,True,,,,,,,
confuzzius,Integer Overflow,,True,,,,,,,,,
confuzzius,Arbitrary Memory Access,True,,,,,,,,,,
confuzzius,Unsafe Delegatecall,True,,,,,,,,,,
confuzzius,Unprotected Selfdestruct,True,,,,,,,,,,
sfuzz,Exception Disorder,,,,,,,,,,True,True
sfuzz,Timestamp Dependency,,,,,,,,True,,,
sfuzz,Gasless Send,,,,,,,,,,True,True
sfuzz,Block Number Dependency,,,,,,,,True,,,
sfuzz,Freezing Ether,,,,,,,,,,,True
sfuzz,Dangerous Delegate Call,True,,,,,,,,,,
vandal,UncheckedCall,,,,,True,,,,,,
vandal,ReentrantCall,,,,True,,,,,,,
slither,arbitrary-send-eth,True,,,,,,,,,,
slither,unchecked-lowlevel,,,,,True,,,,,,
slither,missing-zero-check,True,,,,,,,,,,
slither,reentrancy-unlimited-gas,,,,,,,,,,,True
slither,controlled-array-length,True,,,,,,,,,,
slither,weak-prng,,,,,,True,,,,,
slither,reentrancy-events,,,,True,,,,,,,
slither,divide-before-multiply,,True,,,,,,,,,
slither,unchecked-send,,,,,True,,,,,,
slither,events-access,,,,,,,,,,,True
slither,events-maths,,,,,,,,,,,True
slither,incorrect-modifier,,,,,,,,,,,True
slither,costly-loop,,,True,,,,,,,,
slither,constant-function-asm,,,,,,,,,,,True
slither,too-many-digits,,,,,,,,,,,True
slither,dead-code,,,,,,,,,,,True
slither,cache-array-length,,,,,,,,,,,True
slither,tautology,,,,,,,,,,,True
slither,boolean-equal,,,,,,,,,,,True
slither,similar-names,,,,,,,,,,,True
slither,unchecked-transfer,,,,,True,,,,,,
slither,missing-inheritance,,,,,,,,,,,True
slither,return-bomb,,,True,,,,,,,,
slither,redundant-statements,,,,,,,,,,,True
slither,incorrect-exp,,True,,,,,,,,,
slither,pragma,,,,,,,,,,,True
slither,variable-scope,,,,,,,,,,True,
slither,cyclomatic-complexity,,,,,,,,,,,True
slither,function-init-state,,,,,,,,,,,True
slither,msg-value-loop,,True,,,,,,,,,
slither,mapping-deletion,,,,,,,,,,True,
mythril,DELEGATECALL to user-supplied address,True,,,,,,,,,,
mythril,Unprotected Ether Withdrawal,True,,,,,,,,,,
mythril,Dependence on tx.origin,True,,,,,,,,,,
mythril,External Call To User-Supplied Address,,,,True,,,,,,,
mythril,Unchecked return value from external call,,,,,True,,,,,,
mythril,Multiple Calls in a Single Transaction,,,True,,,,,,,,
mythril,Integer Arithmetic Bugs,,True,,,,,,,,,
mythril,requirement violation,,,,,,,,,,,True
mythril,Write to an arbitrary storage location,True,,,,,,,,,,
mythril,Unprotected Selfdestruct,True,,,,,,,,,,
mythril,Locking Ether,,,,,,,,,,True,
mythril,state access after external call,,,,True,,,,,,,
maian,Not destructible (no self-destruct),,,,,,,,,,True,True
maian,No Ether leak (no send),,,,,,,,,,True,True
maian,No Ether lock (Ether refused),,,,,,,,,,True,True
maian,Ether leak (verified),True,,,,,,,,,,
maian,Destructible (verified),True,,,,,,,,,,
maian,Ether lock (Ether accepted without send),,,,,,,,,,True,True
maian,Ether lock,,,,,,,,,,True,True
maian,Ether leak,,,,,,,,,,True,True
conkas,Integer Overflow,,True,,,,,,,,,
conkas,Integer Underflow,,True,,,,,,,,,
sfuzz,Reentrancy,,,,True,,,,,,,
sfuzz,Integer Underflow,,True,,,,,,,,,
sfuzz,Integer Overflow,,True,,,,,,,,,
vandal,OriginUsed,True,,,,,,,,,,
vandal,CheckedCallStateUpdate,,,,,,,,,,,True
oyente,Integer Overflow,,True,,,,,,,,,
